timestamp,lat,lon
0,28.6139,77.209
1,28.6138,77.2091
2,28.6137,77.20920000000001
3,28.6136,77.2093
4,28.613500000000002,77.2094
5,28.613400000000002,77.2095
6,28.613300000000002,77.20960000000001
7,28.613200000000003,77.2097
8,28.6131,77.2098
9,28.613,77.2099
10,28.6129,77.21000000000001
11,28.6128,77.2101
12,28.6127,77.2102
13,28.6126,77.2103
14,28.6125,77.2104
15,28.6124,77.2105
16,28.6123,77.2106
17,28.6122,77.2107
18,28.6121,77.2108
19,28.612000000000002,77.21090000000001
20,28.611900000000002,77.211
21,28.611800000000002,77.2111
22,28.611700000000003,77.2112
23,28.6116,77.21130000000001
24,28.6115,77.2114
25,28.6114,77.2115
26,28.6113,77.2116
27,28.6112,77.21170000000001
28,28.6111,77.2118
29,28.611,77.2119
30,28.6109,77.212
31,28.6108,77.2121
32,28.6107,77.21220000000001
33,28.6106,77.2123
34,28.610500000000002,77.2124
35,28.610400000000002,77.2125
36,28.610300000000002,77.21260000000001
37,28.610200000000003,77.2127
38,28.610100000000003,77.2128
39,28.61,77.2129
40,28.6099,77.21300000000001
41,28.6098,77.2131
42,28.6097,77.2132
43,28.6096,77.2133
44,28.6095,77.21340000000001
45,28.6094,77.2135
46,28.6093,77.2136
47,28.6092,77.2137
48,28.6091,77.2138
49,28.609,77.21390000000001
50,28.608900000000002,77.214
51,28.608800000000002,77.2141
52,28.608700000000002,77.2142
53,28.608600000000003,77.21430000000001
54,28.6085,77.2144
55,28.6084,77.2145
56,28.6083,77.2146
57,28.6082,77.21470000000001
58,28.6081,77.2148
59,28.608,77.2149
60,28.6079,77.215
61,28.6078,77.2151
62,28.6077,77.21520000000001
63,28.6076,77.2153
64,28.6075,77.2154
65,28.607400000000002,77.2155
66,28.607300000000002,77.21560000000001
67,28.607200000000002,77.2157
68,28.607100000000003,77.2158
69,28.607,77.2159
70,28.6069,77.21600000000001
71,28.6068,77.2161
72,28.6067,77.2162
73,28.6066,77.2163
74,28.6065,77.21640000000001
75,28.6064,77.2165
76,28.6063,77.2166
77,28.6062,77.2167
78,28.6061,77.2168
79,28.606,77.21690000000001
80,28.605900000000002,77.217
81,28.605800000000002,77.2171
82,28.605700000000002,77.2172
83,28.605600000000003,77.21730000000001
84,28.6055,77.2174
85,28.6054,77.2175
86,28.6053,77.2176
87,28.6052,77.21770000000001
88,28.6051,77.2178
89,28.605,77.2179
90,28.6049,77.218
91,28.6048,77.2181
92,28.6047,77.21820000000001
93,28.6046,77.2183
94,28.6045,77.2184
95,28.604400000000002,77.2185
96,28.604300000000002,77.21860000000001
97,28.604200000000002,77.2187
98,28.604100000000003,77.2188
99,28.604000000000003,77.2189
100,28.6039,77.21900000000001
101,28.6038,77.2191
102,28.6037,77.2192
103,28.6036,77.2193
104,28.6035,77.21940000000001
105,28.6034,77.2195
106,28.6033,77.2196
107,28.6032,77.2197
108,28.6031,77.2198
109,28.603,77.21990000000001
110,28.6029,77.22
111,28.602800000000002,77.2201
112,28.602700000000002,77.2202
113,28.602600000000002,77.22030000000001
114,28.602500000000003,77.2204
115,28.6024,77.2205
116,28.6023,77.2206
117,28.6022,77.22070000000001
118,28.6021,77.2208
119,28.602,77.2209
120,28.6019,77.221
